sp1	sp2	symp	area1	area2
197	76	0.836691214406587	10	84
17	53	0.29759154410947075	2	83
105	15	0.5857562185561317	30	50
70	215	0.517438700392088	4	48
71	98	0.2504738832362712	46	77
25	197	0.9645897864413441	59	10
73	6	0.052956133458095134	55	14
210	32	0.09409828724096936	81	12
157	166	0.08927602844574023	38	87
119	83	0.08636254799380372	99	14
97	57	0.706224791990421	54	14
211	51	0.8605475622702403	40	8
121	95	0.8928776708095515	39	68
168	203	0.22474942571146717	68	76
203	129	0.6194318125598806	76	11
43	213	0.7032639994377441	36	11
69	191	0.6685070683207166	45	10
154	80	0.5068991166500205	15	17
152	7	0.9710947169543865	67	17
149	176	0.5181344947559906	74	42
49	131	0.020076443922024345	18	84
106	125	0.6373985074204729	49	35
122	72	0.2674556843775324	14	85
176	60	0.3353528620631011	42	67
65	70	0.13914713411037216	35	4
44	45	0.5058459420300867	61	74
91	56	0.6718368724429583	63	25
46	147	0.5116987464870831	50	88
37	40	0.7030555633834241	58	76
152	45	0.3971761163853006	67	74
69	5	0.8774329305884857	45	15
44	126	0.9756726815729679	61	78
119	112	0.36746131417089845	99	4
82	75	0.24109772364483995	72	28
63	58	0.7889606861409485	24	50
11	194	0.42607806083384814	11	78
150	160	0.7117893391680968	43	94
39	31	0.9946043834187996	52	6
48	123	0.20049902769473504	26	7
153	47	0.15062306320533625	97	74
75	196	0.8702428517318036	28	16
106	54	0.7086385708102464	49	35
58	55	0.5691640899323078	50	12
161	171	0.7758929788379472	45	3
136	159	0.3165574861459368	72	8
1	148	0.9925100677001024	61	12
9	45	0.9259748194049638	27	74
197	14	0.15490410049122172	10	13
144	215	0.904969833838351	4	48
99	70	0.5035462195404505	75	4
26	201	0.37891026239954284	5	30
147	112	0.37548000730819264	88	4
73	32	0.10002555993558615	55	12
199	26	0.8501294676604086	1	5
45	182	0.4506897964491927	74	82
81	37	0.9948270004994056	20	58
110	200	0.18196127934048634	25	6
130	117	0.004574332409709614	2	97
51	67	0.481139780194893	8	3
149	61	0.31591988126865944	74	54
176	57	0.9947701698992161	42	14
86	203	0.049186838705252756	6	76
39	5	0.4168951527026652	52	15
10	179	0.87510771243081	73	76
32	37	0.08396471930765603	12	58
95	134	0.06365737090078305	68	28
38	185	0.8263749947119896	1	92
204	121	0.9790127468237806	61	39
4	45	0.3170557281370362	41	74
139	92	0.4713154845690345	80	71
127	35	0.004060443014230697	1	61
148	125	0.24511685878521916	12	35
203	63	0.8913653351304195	76	24
212	195	0.3025057816769904	18	4
41	79	0.2874854340422197	88	23
212	10	0.8398177063635073	18	73
128	20	0.9401383942964314	29	92
148	63	0.3176265519853082	12	24
29	59	0.6214104995992837	2	26
189	4	0.13240145565229167	38	41
122	156	0.8145852537307547	14	91
