codes	specie
0	Acorus calamus
1	Aldrovanda vesiculosa
2	Alisma gramineum
3	Alisma lanceolatum
4	Alisma plantago-aquatica
5	Alisma wahlenbergii
6	Apium inundatum
7	Azolla filiculoides
8	Baldellia ranunculoides
9	Berula erecta
10	Butomus umbellatus
11	Callitriche brutia
12	Callitriche cophocarpa
13	Callitriche hamulata
14	Callitriche hermaphroditica
15	Callitriche palustris
16	Callitriche stagnalis
17	Callitriche truncata
18	Carex appropinquata
19	Carex aquatilis
20	Carex elata
21	Carex lasiocarpa
22	Carex limosa
23	Carex rostrata
24	Carex vesicaria
25	Ceratophyllum demersum
26	Ceratophyllum muricatum
27	Ceratophyllum platyacanthum
28	Ceratophyllum submersum
29	Cladium mariscus
30	Crassula helmsii
31	Egeria densa
32	Elatine hexandra
33	Elatine hydropiper
34	Eleocharis acicularis
35	Eleocharis mamillata
36	Eleocharis multicaulis
37	Eleocharis palustris
38	Eleocharis parvula
39	Eleocharis uniglumis
40	Elodea canadensis
41	Equisetum fluviatile
42	Glyceria fluitans
43	Glyceria maxima
44	Hippuris tetraphylla
45	Hippuris vulgaris
46	Hottonia palustris
47	Hydrocharis morsus-ranae
48	Isoetes echinospora
49	Isoetes lacustris
50	Isolepis fluitans
51	Juncus bulbosus
52	Juncus filiformis
53	Leersia oryzoides
54	Lemna gibba
55	Lemna minor
56	Lemna trisulca
57	Lobelia dortmanna
58	Luronium natans
59	Lysimachia thyrsiflora
60	Lythrum portula
61	Marsilea polycarpa
62	Marsilea strigosa
63	Mentha aquatica
64	Menyanthes trifoliata
65	Myriophyllum alterniflorum
66	Myriophyllum spicatum
67	Myriophyllum verticillatum
68	Najas flexilis
69	Najas marina
70	Najas tenuissima
71	Nasturtium microphyllum
72	Nasturtium officinale
73	Nelumbo nucifera
74	Nuphar lutea
75	Nuphar pumila
76	Nymphaea alba
77	Nymphaea candida
78	Nymphaea lotus
79	Nymphaea rubra
80	Nymphaea tetragona
81	Nymphoides peltata
82	Oenanthe aquatica
83	Oenanthe fluviatilis
84	Persicaria amphibia
85	Phragmites australis
86	Pilularia minuta
87	Potamogeton acutifolius
88	Potamogeton alpinus
89	Potamogeton berchtoldii
90	Potamogeton coloratus
91	Potamogeton compressus
92	Potamogeton crispus
93	Potamogeton friesii
94	Potamogeton gramineus
95	Potamogeton lucens
96	Potamogeton natans
97	Potamogeton nodosus
98	Potamogeton obtusifolius
99	Potamogeton perfoliatus
100	Potamogeton polygonifolius
101	Potamogeton praelongus
102	Potamogeton pusillus
103	Potamogeton rutilus
104	Potamogeton trichoides
105	Pycreus flavescens
106	Ranunculus aquatilis
107	Ranunculus circinatus
108	Ranunculus flammula
109	Ranunculus fluitans
110	Ranunculus hederaceus
111	Ranunculus lingua
112	Ranunculus ololeucos
113	Ranunculus omiophyllus
114	Ranunculus peltatus
115	Ranunculus penicillatus
116	Ranunculus reptans
117	Ranunculus rionii
118	Ranunculus sphaerospermus
119	Ranunculus trichophyllus
120	Ranunculus tripartitus
121	Rorippa amphibia
122	Rorippa nasturtium-aquatcplx
123	Rumex hydrolapathum
124	Ruppia cirrhosa
125	Ruppia maritima
126	Sagittaria natans
127	Sagittaria sagittifolia
128	Salvinia natans
129	Schoenoplectus lacustris
130	Schoenoplectus tabernaemontani
131	Scolochloa festucacea
132	Sium latifolium
133	Sparganium angustifolium
134	Sparganium emersum
135	Sparganium erectum
136	Sparganium glomeratum
137	Sparganium gramineum
138	Sparganium hyperboreum
139	Sparganium natans
140	Spirodela polyrrhiza
141	Stratiotes aloides
142	Subularia aquatica
143	Trapa natans
144	Trichophorum alpinum
145	Typha angustifolia
146	Typha latifolia
147	Utricularia australis
148	Utricularia intermedia
149	Utricularia minor
150	Utricularia vulgaris
151	Veronica anagallis-aquatica
152	Veronica beccabunga
153	Veronica catenata
154	Zannichellia palustris
155	Elatine alsinastrum
156	Elatine triandra
