codes	specie
0	Alisma gramineum
1	Alisma lanceolatum
2	Alisma subcordatum
3	Alisma triviale
4	Azolla caroliniana
5	Azolla filiculoides
6	Azolla mexicana
7	Blyxa aubertii
8	Brasenia schreberi
9	Butomus umbellatus
10	CaboCaro
11	Caltha natans
12	Canna flaccida
13	Canna glauca
14	Ceratophyllum demersum
15	Ceratophyllum echinatum
16	Colocasia esculenta
17	Crinum americanum
18	Damasonium californicum
19	Echinodorus cordifolius
20	Egeria densa
21	Eichhornia crassipes
22	Elodea bifoliata
23	Elodea canadensis
24	Elodea nuttallii
25	Equisetum fluviatile
26	Eriocaulon aquaticum
27	Eriocaulon cinereum
28	Eriocaulon compressum
29	Eriocaulon decangulare
30	Eriocaulon koernickianum
31	Eriocaulon lineare
32	Eriocaulon nigrobracteatum
33	Eriocaulon ravenelii
34	Eriocaulon texense
35	Heteranthera dubia
36	Heteranthera limosa
37	Heteranthera multiflora
38	Heteranthera reniformis
39	Heteranthera rotundifolia
40	Hydrocharis morsus
41	Hydrilla verticillata
42	Hydrocleys nymphoides
43	Iris Fulva
44	Iris giganticaerulea
45	Iris missouriensis
46	Iris savannarum
47	Iris versicolor
48	Iris virginica
49	Isoetes acadiensis
50	Isoetes bolanderi
51	Isoetes caroliniana
52	Isoetes echinospora
53	Isoetes engelmannii
54	Isoetes flaccida
55	Isoetes howellii
56	Isoetes lacustris
57	Isoetes maritima
58	Isoeetes melanopoda
59	Isoetes melanospora
60	Isoetes occidentalis
61	Isoetes prototypus
62	Isoetes riparia
63	Isoeetes tuckermanii
64	Juncus acuminatus
65	Juncus alpinoarticulatus
66	Juncus anthelatus
67	Juncus articulatus
68	Juncus biglumis
69	Juncus bolanderi
70	Juncus brachycarpus
71	Juncus brachycephalus
72	Juncus brachyphyllus
73	Juncus brevicaudatus
74	Juncus bryoides
75	Juncus bufonius
76	Juncus pelocarpus
77	Juncus subtilis
78	Lemna aequinoctialis
79	Leman gibba
80	Lemna minor
81	Lemna minuta
82	Lemna obscura
83	Lemna perpusilla
84	Lemna trisulca
85	Lemna turionifera
86	Lemna valdiviana
87	Lilaea scilloides
88	Limnobium spongia
89	Lysichiton
90	Marsilea macropoda
91	Marsilea mollis
92	Marsilea oligospora
93	Marsilea quadrifolia
94	Marsilea vestita
95	Mayaca fluviatilis
96	Monochoria vaginalis
97	Montia chamissoi
98	Montia dichotoma
99	Montia fontana
100	Montana howeii
101	Murdannia keisak
102	Najas filifolia
103	Najas flexilis
104	Najas gracillima
105	Najas guadalupensis
106	Najas maritina
107	Najas minor
108	Nelumbo lutea
109	Nuphar advena
110	Nuphar microphylla
111	Nuphar orbiculata
112	Nuphar polysepala
113	Nuphar rubrodisca
114	Nuphar sagittifolia
115	Nuphar variegata
116	Nymphaea capensis
117	Nymphaea elegans
118	Nymphaea jamesoniana
119	Nymphaea leibergii
120	Nymphaea lotus
121	Nymphaea mexicana
122	Nymphaea odorata
123	Nymphaea tetragona
124	Orontium aquaticum
125	Ottelia alismoides
126	Peltandra sagittifolia
127	Peltandra virginica
128	Phylospadix scouleri
129	Phyllospadix torreyi
130	Pilularia americana
131	Pistia stratiotes
132	Pontederia cordata
133	Potamogeton alpinus
134	Potamogeton amplifolius
135	Potamogeton bicupulatus
136	Potamogeton confervoides
137	Potamogeton crispus
138	Potamogeton diversifolius
139	Potamogeton epihydrus
140	Potamogeton foliosus
141	Potamogeton friesii
142	Potamogeton gramineus
143	Potamogeton groenlandicus
144	Potamogeton hillii
145	Potamogeton illinoensis
146	Potamogeton natans
147	Potamogeton nodosus
148	Potamogeton oblongus
149	Potamogeton obtusifolius
150	Potamogeton perfoliatus
151	Potamogeton praelongus
152	Potamogeton pulcher
153	Potamogeton pusillus
154	Ranunculus aquatilis var. aquatilis
155	Ranunculus flabellaris
156	Ranunculus gmelinii
157	Ranunculus hederaceus
158	Ranunculus hydrocharoides
159	Ranunculus hyperboreus
160	Ranunculus lobbii
161	Ranunculus pallasii
162	Ranunculus populago
163	Ranunculus pusillus
164	Ranunculus sceleratus var. sceleratus
165	Sagittaria ambigua
166	Sagittaria australis
167	Sagittaria brevirostra
168	Sagittaria cristata
169	Sagittaria cuneata
170	Sagittaria demersa
171	Sagittaria filiformis
172	Sagittaria graminea subsp. graminea
173	Sagittaria graminea
174	Sagittaria isoetiformis
175	Sagittaria kurziana
176	Sagittaria latifolia
177	Sagittaria longiloba
178	Sagittaria montevidensis subsp. montevidensis
179	Sagittaria montevidensis subsp. calycina
180	Sagittaria montevidensis subsp. spongiosa
181	Sagittaria platyphylla
182	Sagittaria rigida
183	Sagittaria sanfordii
184	Sagittaria subulata
185	Sagittaria teres
186	Salvinia minima
187	Sparganium americanum
188	Sparganium androcladum
189	Sparganium angustifolium
190	Sparganium emersum
191	Sparganium eurycarpum
192	Sparganium fluctuans
193	Sparganium glomeratum
194	Sparganium hyperboreum
195	Sparganium natans
196	Spirodela polyrrhiza
197	Spirodela punctata
198	Stuckenia filiformis subsp. filiformis
199	Stuckenia pectinata
200	Stuckenia striata
201	Stuckenia vaginata
202	Thalia dealbata
203	Thalia geniculata
204	Typha angustifolium
205	Typha domingensis
206	Typha latifolia
207	Vallisneria americana
208	Wolffia borealis
209	Wolffia brasiliensis
210	Wolffia columbiana
211	Wolffia globosa
212	Wolffiella gladiata
213	Wolffiella lingulata
214	Wolffiella oblonga
215	Zannichellia palustris
