codes	specie
0	Alisma gramineum
1	Alisma lanceolatum
2	Alisma subcordatum
3	Alisma triviale
4	Azolla caroliniana
5	Azolla filiculoides
6	Azolla mexicana
7	Blyxa aubertii
8	Brasenia schreberi
9	Butomus umbellatus
10	Cabomba caroliniana
11	Caltha natans
12	Canna flaccida
13	Canna glauca
14	Ceratophyllum echinatum
15	Colocasia esculenta
16	Crinum americanum
17	Damasonium californicum
18	Echinodorus cordifolius
19	Egeria densa
20	Eichhornia crassipes
21	Elodea bifoliata
22	Elodea canadensis
23	Elodea nuttallii
24	Equisetum fluviatile
25	Eriocaulon cinereum
26	Eriocaulon compressum
27	Eriocaulon decangulare
28	Eriocaulon koernickianum
29	Eriocaulon lineare
30	Eriocaulon nigrobracteatum
31	Eriocaulon ravenelii
32	Eriocaulon texense
33	Heteranthera dubia
34	Heteranthera limosa
35	Heteranthera multiflora
36	Heteranthera reniformis
37	Hydrocharis morsus-ranae
38	Hydrocleys nymphoides
39	Hydrilla verticillata
40	Iris Fulva
41	Iris giganticaerulea
42	Iris missouriensis
43	Iris savannarum
44	Iris versicolor
45	Iris virginica
46	Isoetes acadiensis
47	Isoetes bolanderi
48	Isoetes caroliniana
49	Isoetes echinospora
50	Isoetes engelmannii
51	Isoetes flaccida
52	Isoetes lacustris
53	Isoetes maritima
54	Isoeetes melanopoda
55	Isoetes melanospora
56	Isoetes occidentalis
57	Isoetes prototypus
58	Isoetes riparia
59	Isoeetes tuckermanii
60	Juncus acuminatus
61	Juncus alpinoarticulatus
62	Juncus anthelatus
63	Ceratophyllum demersum
64	Eriocaulon aquaticum
65	Heteranthera rotundifolia
66	Isoetes howellii
67	Juncus articulatus
68	Marsilea macropoda
69	Nelumbo lutea
70	Ottelia alismoides
71	Potamogeton gramineus
72	Sagittaria demersa
73	Sagittaria platyphylla
74	Stuckenia striata
75	Juncus biglumis
76	Juncus bolanderi
77	Juncus brachycarpus
78	Juncus brachycephalus
79	Juncus brachyphyllus
80	Juncus brevicaudatus
81	Juncus bryoides
82	Juncus bufonius
83	Juncus pelocarpus
84	Juncus subtilis
85	Lemna aequinoctialis
86	Leman gibba
87	Lemna minor
88	Lemna minuta
89	Lemna obscura
90	Lemna perpusilla
91	Lemna trisulca
92	Lemna turionifera
93	Lemna valdiviana
94	Lilaea scilloides
95	Limnobium spongia
96	Lysichiton
97	Marsilea mollis
98	Marsilea oligospora
99	Marsilea quadrifolia
100	Marsilea vestita
101	Mayaca fluviatilis
102	Monochoria vaginalis
103	Montia chamissoi
104	Montia dichotoma
105	Montia fontana
106	Montana howeii
107	Murdannia keisak
108	Najas filifolia
109	Najas flexilis
110	Najas gracillima
111	Najas guadalupensis
112	Najas maritina
113	Najas minor
114	Nuphar advena
115	Nuphar microphylla
116	Nuphar orbiculata
117	Nuphar polysepala
118	Nuphar rubrodisca
119	Nuphar sagittifolia
120	Nuphar variegata
121	Nymphaea capensis
122	Nymphaea elegans
123	Nymphaea jamesoniana
124	Nymphaea leibergii
125	Nymphaea lotus
126	Nymphaea mexicana
127	Nymphaea odorata
128	Nymphaea tetragona
129	Orontium aquaticum
130	Peltandra sagittifolia
131	Peltandra virginica
132	Phylospadix scouleri
133	Phyllospadix torreyi
134	Pilularia americana
135	Pistia stratiotes
136	Pontederia cordata
137	Potamogeton alpinus
138	Potamogeton amplifolius
139	Potamogeton bicupulatus
140	Potamogeton confervoides
141	Potamogeton crispus
142	Potamogeton diversifolius
143	Potamogeton epihydrus
144	Potamogeton foliosus
145	Potamogeton friesii
146	Potamogeton groenlandicus
147	Potamogeton hillii
148	Potamogeton illinoensis
149	Potamogeton natans
150	Potamogeton nodosus
151	Potamogeton oblongus
152	Potamogeton obtusifolius
153	Potamogeton perfoliatus
154	Potamogeton praelongus
155	Potamogeton pulcher
156	Potamogeton pusillus
157	Ranunculus aquatilis var. aquatilis
158	Ranunculus flabellaris
159	Ranunculus gmelinii
160	Ranunculus hederaceus
161	Ranunculus hydrocharoides
162	Ranunculus hyperboreus
163	Ranunculus lobbii
164	Ranunculus pallasii
165	Ranunculus populago
166	Ranunculus pusillus
167	Ranunculus sceleratus var. sceleratus
168	Sagittaria ambigua
169	Sagittaria australis
170	Sagittaria brevirostra
171	Sagittaria cristata
172	Sagittaria cuneata
173	Sagittaria filiformis
174	Sagittaria graminea subsp. graminea
175	Sagittaria graminea
176	Sagittaria isoetiformis
177	Sagittaria kurziana
178	Sagittaria latifolia
179	Sagittaria longiloba
180	Sagittaria montevidensis subsp. montevidensis
181	Sagittaria montevidensis subsp. calycina
182	Sagittaria montevidensis subsp. spongiosa
183	Sagittaria rigida
184	Sagittaria sanfordii
185	Sagittaria subulata
186	Sagittaria teres
187	Salvinia minima
188	Sparganium americanum
189	Sparganium androcladum
190	Sparganium angustifolium
191	Sparganium emersum
192	Sparganium eurycarpum
193	Sparganium fluctuans
194	Sparganium glomeratum
195	Sparganium hyperboreum
196	Sparganium natans
197	Spirodela polyrrhiza
198	Spirodela punctata
199	Stuckenia filiformis subsp. filiformis
200	Stuckenia pectinata
201	Stuckenia vaginata
202	Thalia dealbata
203	Thalia geniculata
204	Typha angustifolium
205	Typha domingensis
206	Typha latifolia
207	Vallisneria americana
208	Wolffia borealis
209	Wolffia brasiliensis
210	Wolffia columbiana
211	Wolffiella gladiata
212	Wolffiella lingulata
213	Wolffiella oblonga
214	Wolffia globosa
215	Zannichellia palustris
