name	abbreviation	has
Alisma gramineum	AlisGram	y
Alisma lanceolatum	AlisLanc	y
Alisma subcordatum	AlisSubc	y
Alisma triviale	AlisTriv	y
Azolla caroliniana	AzolCaro_g	y
Azolla filiculoides	AzolFili_g	y
Azolla mexicana	AzolMexi_g	y
Blyxa aubertii	BlyxAube	y
Brasenia schreberi	BrasSchr_g	y
Butomus umbellatus	ButoUmbe	y
CaboCaro	CaboCaro_g	y
	CallPalu	n
	CaltLept_g	n
Caltha natans	CaltNata_g	y
	CaltPalu_g	n
Canna flaccida	CannFlac	y
Canna glauca	CannGlau	y
Ceratophyllum demersum	CeraDeme_g	y
Ceratophyllum echinatum	CeraEchi_g	y
Colocasia esculenta	ColoEscu	y
	CommComm	n
	CommVirg	n
Crinum americanum	CrinAmer_var_amer	y
Damasonium californicum	DamaCali	y
	EchiBert	n
Echinodorus cordifolius	EchiCord_subsp_cord	y
	EchiTene	n
Egeria densa	EgerDens	y
Eichhornia crassipes	EichCras	y
Elodea bifoliata	ElodBifo	y
Elodea canadensis	ElodCana	y
Elodea nuttallii	ElodNutt	y
	EquiArve_g	n
Equisetum fluviatile	EquiFluv_g	y
	EquiPalu_g	n
Eriocaulon aquaticum	ErioAqua	y
Eriocaulon cinereum	ErioCine	y
Eriocaulon compressum	ErioComp	y
Eriocaulon decangulare	ErioDeca	y
Eriocaulon koernickianum	ErioKoer	y
Eriocaulon lineare	ErioLine	y
Eriocaulon nigrobracteatum	ErioPark	y
Eriocaulon ravenelii	ErioRave	y
Eriocaulon texense	ErioTexe	y
	HaloDeci	n
	HaloEnge	n
	HaloJohn	n
	HaloduleWrig	n
Heteranthera dubia	HeteDubi	y
Heteranthera limosa	HeteLimo	y
	HeteMexi	n
Heteranthera multiflora	HeteMult	y
Heteranthera reniformis	HeteReni	y
Heteranthera rotundifolia	HeteRotu	y
Hydrocharis morsus	HydrMors-ranae	y
Hydrilla verticillata	HydrVert	y
Hydrocleys nymphoides	HydrocleysNymp	y
Iris Fulva	IrisFulv	y
Iris giganticaerulea	IrisGiga	y
	IrisHexa	n
Iris missouriensis	IrisMiss	y
Iris savannarum	IrisSava	y
